Time,County,Sales,Type
2014-05,Archuleta,,Medical
2014-05,Boulder,2823124.0,Medical
2014-05,Boulder,2354205.0,Recreational
2014-05,Chaffee,88974.0,Medical
2014-05,Clear Creek,97349.0,Medical
2014-05,Clear Creek,320076.0,Recreational
2014-05,Costilla,,Medical
2014-05,Denver,14150620.0,Medical
2014-05,Denver,11300905.0,Recreational
2014-05,Eagle,146126.0,Medical
2014-05,Eagle,,Recreational
2014-05,El Paso,5518910.0,Medical
2014-05,Fremont,239918.0,Medical
2014-05,Garfield,434235.0,Medical
2014-05,Garfield,292839.0,Recreational
2014-05,Gilpin,42979.0,Medical
2014-05,Gilpin,116815.0,Recreational
2014-05,Grand,,Medical
2014-05,Gunnison,,Medical
2014-05,Gunnison,,Recreational
2014-05,Jefferson,2037535.0,Medical
2014-05,Jefferson,1435895.0,Recreational
2014-05,La Plata,561810.0,Medical
2014-05,Lake,,Recreational
2014-05,Larimer,1116171.0,Medical
2014-05,Larimer,,Recreational
2014-05,Mesa,,Medical
2014-05,Moffat,,Medical
2014-05,Montezuma,120385.0,Medical
2014-05,Montrose,,Medical
2014-05,Ouray,,Medical
2014-05,Ouray,,Recreational
2014-05,Park,,Medical
2014-05,Park,,Recreational
2014-05,Pitkin,95001.0,Medical
2014-05,Pitkin,185390.0,Recreational
2014-05,Pueblo,452196.0,Medical
2014-05,Pueblo,1417017.0,Recreational
2014-05,Routt,159620.0,Medical
2014-05,Routt,,Recreational
2014-05,San Miguel,49679.0,Medical
2014-05,San Miguel,257276.0,Recreational
2014-05,Sedgwick,,Medical
2014-05,Summit,201566.0,Medical
2014-05,Summit,545898.0,Recreational
2014-05,Teller,,Medical
2014-05,Weld,516873.0,Medical
2014-05,Weld,694205.0,Recreational
2014-06,Adams,433176.0,Medical
2014-06,Adams,,Recreational
2014-06,Alamosa,,Medical
2014-06,Arapahoe,1425313.0,Medical
2014-06,Archuleta,,Medical
2014-06,Boulder,2507058.0,Medical
2014-06,Boulder,2593735.0,Recreational
2014-06,Chaffee,96647.0,Medical
2014-06,Clear Creek,97965.0,Medical
2014-06,Clear Creek,396938.0,Recreational
2014-06,Costilla,,Medical
2014-06,Denver,13476218.0,Medical
2014-06,Denver,12245778.0,Recreational
2014-06,Eagle,132878.0,Medical
2014-06,Eagle,,Recreational
2014-06,El Paso,5342494.0,Medical
2014-06,Fremont,228665.0,Medical
2014-06,Garfield,418280.0,Medical
2014-06,Garfield,392391.0,Recreational
2014-06,Gilpin,38278.0,Medical
2014-06,Gilpin,145630.0,Recreational
2014-06,Grand,,Medical
2014-06,Gunnison,,Medical
2014-06,Gunnison,,Recreational
2014-06,Jefferson,1889080.0,Medical
2014-06,Jefferson,1445315.0,Recreational
2014-06,La Plata,544589.0,Medical
2014-06,Lake,,Recreational
2014-06,Larimer,1112079.0,Medical
2014-06,Larimer,,Recreational
2014-06,Mesa,,Medical
2014-06,Moffat,,Medical
2014-06,Montezuma,115548.0,Medical
2014-06,Montrose,,Medical
2014-06,Ouray,,Medical
2014-06,Ouray,,Recreational
2014-06,Park,,Medical
2014-06,Park,,Recreational
2014-06,Pitkin,110679.0,Medical
2014-06,Pitkin,322473.0,Recreational
2014-06,Pueblo,403341.0,Medical
2014-06,Pueblo,1571864.0,Recreational
2014-06,Routt,,Medical
2014-06,Routt,,Recreational
2014-06,Saguache,,Medical
2014-06,San Miguel,75455.0,Medical
2014-06,San Miguel,451452.0,Recreational
2014-06,Sedgwick,,Medical
2014-06,Sedgwick,,Recreational
2014-06,Summit,203354.0,Medical
2014-06,Summit,686139.0,Recreational
2014-06,Teller,,Medical
2014-06,Weld,470633.0,Medical
2014-06,Weld,795293.0,Recreational
2014-07,Adams,452488.0,Medical
2014-07,Adams,,Recreational
2014-07,Alamosa,,Medical
2014-07,Arapahoe,1470823.0,Medical
2014-07,Archuleta,,Medical
2014-07,Boulder,2547883.0,Medical
2014-07,Boulder,3192671.0,Recreational
2014-07,Chaffee,92938.0,Medical
2014-07,Clear Creek,108796.0,Medical
2014-07,Clear Creek,473299.0,Recreational
2014-07,Costilla,,Medical
2014-07,Denver,14083010.0,Medical
2014-07,Denver,14518417.0,Recreational
2014-07,Eagle,165132.0,Medical
2014-07,Eagle,,Recreational
2014-07,El Paso,5895119.0,Medical
2014-07,El Paso,,Recreational
2014-07,Fremont,250084.0,Medical
2014-07,Garfield,446439.0,Medical
2014-07,Garfield,403958.0,Recreational
2014-07,Gilpin,36110.0,Medical
2014-07,Gilpin,160328.0,Recreational
2014-07,Grand,,Medical
2014-07,Gunnison,,Medical
2014-07,Gunnison,307664.0,Recreational
2014-07,Jefferson,1913729.0,Medical
2014-07,Jefferson,1699749.0,Recreational
2014-07,La Plata,604088.0,Medical
2014-07,Lake,,Recreational
2014-07,Larimer,1087000.0,Medical
2014-07,Larimer,1083910.0,Recreational
2014-07,Mesa,,Medical
2014-07,Moffat,,Medical
2014-07,Montezuma,120802.0,Medical
2014-07,Montrose,,Medical
2014-07,Ouray,,Medical
2014-07,Ouray,,Recreational
2014-07,Park,,Medical
2014-07,Park,,Recreational
2014-07,Pitkin,117930.0,Medical
2014-07,Pitkin,505148.0,Recreational
2014-07,Pueblo,459326.0,Medical
2014-07,Pueblo,1985679.0,Recreational
2014-07,Routt,,Medical
2014-07,Routt,,Recreational
2014-07,Saguache,,Medical
2014-07,Saguache,,Recreational
2014-07,San Miguel,49131.0,Medical
2014-07,San Miguel,548213.0,Recreational
2014-07,Sedgwick,,Medical
2014-07,Sedgwick,,Recreational
2014-07,Summit,189746.0,Medical
2014-07,Summit,981349.0,Recreational
2014-07,Teller,,Medical
2014-07,Weld,303374.0,Medical
2014-07,Weld,1168267.0,Recreational
2014-08,Adams,481873.0,Medical
2014-08,Adams,,Recreational
2014-08,Alamosa,,Medical
2014-08,Arapahoe,1453140.0,Medical
2014-08,Archuleta,,Medical
2014-08,Boulder,2728671.0,Medical
2014-08,Boulder,3644021.0,Recreational
2014-08,Chaffee,75887.0,Medical
2014-08,Chaffee,,Recreational
2014-08,Clear Creek,102919.0,Medical
2014-08,Clear Creek,480132.0,Recreational
2014-08,Costilla,,Medical
2014-08,Denver,15861744.0,Medical
2014-08,Denver,15901236.0,Recreational
2014-08,Eagle,171357.0,Medical
2014-08,Eagle,414091.0,Recreational
2014-08,El Paso,6327504.0,Medical
2014-08,El Paso,,Recreational
2014-08,Fremont,268966.0,Medical
2014-08,Garfield,531623.0,Medical
2014-08,Garfield,603468.0,Recreational
2014-08,Gilpin,42366.0,Medical
2014-08,Gilpin,155054.0,Recreational
2014-08,Grand,,Medical
2014-08,Gunnison,,Medical
2014-08,Gunnison,309611.0,Recreational
2014-08,Jefferson,2021406.0,Medical
2014-08,Jefferson,1858831.0,Recreational
2014-08,La Plata,657993.0,Medical
2014-08,Lake,,Recreational
2014-08,Larimer,1207539.0,Medical
2014-08,Larimer,1340810.0,Recreational
2014-08,Mesa,,Medical
2014-08,Moffat,,Medical
2014-08,Montezuma,132833.0,Medical
2014-08,Montrose,,Medical
2014-08,Ouray,,Medical
2014-08,Ouray,,Recreational
2014-08,Park,,Medical
2014-08,Park,,Recreational
2014-08,Pitkin,115179.0,Medical
2014-08,Pitkin,502231.0,Recreational
2014-08,Pueblo,460037.0,Medical
2014-08,Pueblo,1685115.0,Recreational
2014-08,Routt,170505.0,Medical
2014-08,Routt,,Recreational
2014-08,Saguache,,Medical
2014-08,Saguache,,Recreational
2014-08,San Miguel,46369.0,Medical
2014-08,San Miguel,591931.0,Recreational
2014-08,Sedgwick,,Medical
2014-08,Sedgwick,,Recreational
2014-08,Summit,177412.0,Medical
2014-08,Summit,941538.0,Recreational
2014-08,Teller,,Medical
2014-08,Weld,275556.0,Medical
2014-08,Weld,1291047.0,Recreational
2014-09,Adams,453206.0,Medical
2014-09,Adams,,Recreational
2014-09,Alamosa,,Medical
2014-09,Arapahoe,1353297.0,Medical
2014-09,Archuleta,,Medical
2014-09,Archuleta,,Recreational
2014-09,Boulder,2715576.0,Medical
2014-09,Boulder,3314834.0,Recreational
2014-09,Chaffee,,Medical
2014-09,Chaffee,,Recreational
2014-09,Clear Creek,102603.0,Medical
2014-09,Clear Creek,375860.0,Recreational
2014-09,Costilla,,Medical
2014-09,Denver,15196933.0,Medical
2014-09,Denver,14364191.0,Recreational
2014-09,Eagle,181480.0,Medical
2014-09,Eagle,379890.0,Recreational
2014-09,El Paso,5953327.0,Medical
2014-09,El Paso,,Recreational
2014-09,Fremont,233349.0,Medical
2014-09,Garfield,527700.0,Medical
2014-09,Garfield,537711.0,Recreational
2014-09,Gilpin,39786.0,Medical
2014-09,Gilpin,138821.0,Recreational
2014-09,Grand,,Medical
2014-09,Gunnison,,Medical
2014-09,Gunnison,255533.0,Recreational
2014-09,Jefferson,1845807.0,Medical
2014-09,Jefferson,1701706.0,Recreational
2014-09,La Plata,623331.0,Medical
2014-09,La Plata,,Recreational
2014-09,Lake,,Recreational
2014-09,Larimer,1315740.0,Medical
2014-09,Larimer,1378589.0,Recreational
2014-09,Mesa,,Medical
2014-09,Moffat,,Medical
2014-09,Montezuma,125628.0,Medical
2014-09,Montrose,,Medical
2014-09,Morgan,,Medical
2014-09,Morgan,,Recreational
2014-09,Ouray,,Medical
2014-09,Ouray,,Recreational
2014-09,Park,,Medical
2014-09,Park,,Recreational
2014-09,Pitkin,100612.0,Medical
2014-09,Pitkin,316259.0,Recreational
2014-09,Pueblo,436843.0,Medical
2014-09,Pueblo,1386314.0,Recreational
2014-09,Routt,167807.0,Medical
2014-09,Routt,,Recreational
2014-09,Saguache,,Recreational
2014-09,San Miguel,39758.0,Medical
2014-09,San Miguel,501532.0,Recreational
2014-09,Sedgwick,,Medical
2014-09,Sedgwick,,Recreational
2014-09,Summit,179358.0,Medical
2014-09,Summit,726128.0,Recreational
2014-09,Teller,,Medical
2014-09,Weld,287891.0,Medical
2014-09,Weld,1201206.0,Recreational
2014-10,Adams,474637.0,Medical
2014-10,Adams,,Recreational
2014-10,Alamosa,,Medical
2014-10,Arapahoe,1396842.0,Medical
2014-10,Arapahoe,,Recreational
2014-10,Archuleta,,Medical
2014-10,Archuleta,,Recreational
2014-10,Boulder,2660593.0,Medical
2014-10,Boulder,3477557.0,Recreational
2014-10,Chaffee,,Medical
2014-10,Chaffee,,Recreational
2014-10,Clear Creek,102858.0,Medical
2014-10,Clear Creek,338132.0,Recreational
2014-10,Costilla,,Medical
2014-10,Denver,15006222.0,Medical
2014-10,Denver,14895186.0,Recreational
2014-10,Eagle,206273.0,Medical
2014-10,Eagle,356123.0,Recreational
2014-10,El Paso,5742846.0,Medical
2014-10,El Paso,,Recreational
2014-10,Fremont,174220.0,Medical
2014-10,Garfield,389617.0,Medical
2014-10,Garfield,553834.0,Recreational
2014-10,Gilpin,,Medical
2014-10,Gilpin,,Recreational
2014-10,Grand,,Medical
2014-10,Gunnison,,Medical
2014-10,Gunnison,184394.0,Recreational
2014-10,Jefferson,1923839.0,Medical
2014-10,Jefferson,1714442.0,Recreational
2014-10,La Plata,531825.0,Medical
2014-10,La Plata,,Recreational
2014-10,Lake,,Recreational
2014-10,Larimer,1232929.0,Medical
2014-10,Larimer,1523402.0,Recreational
2014-10,Mesa,,Medical
2014-10,Moffat,,Medical
2014-10,Montezuma,,Medical
2014-10,Montrose,,Medical
2014-10,Morgan,,Medical
2014-10,Morgan,,Recreational
2014-10,Ouray,,Medical
2014-10,Ouray,,Recreational
2014-10,Park,,Medical
2014-10,Park,,Recreational
2014-10,Pitkin,86614.0,Medical
2014-10,Pitkin,246079.0,Recreational
2014-10,Pueblo,352545.0,Medical
2014-10,Pueblo,1245865.0,Recreational
2014-10,Routt,,Medical
2014-10,Routt,,Recreational
2014-10,Saguache,,Recreational
2014-10,San Miguel,36239.0,Medical
2014-10,San Miguel,278409.0,Recreational
2014-10,Sedgwick,,Medical
2014-10,Sedgwick,,Recreational
2014-10,Summit,178233.0,Medical
2014-10,Summit,632225.0,Recreational
2014-10,Teller,,Medical
2014-10,Weld,361629.0,Medical
2014-10,Weld,1126809.0,Recreational
2014-11,Adams,480189.0,Medical
2014-11,Adams,1304091.0,Recreational
2014-11,Alamosa,,Medical
2014-11,Arapahoe,1345048.0,Medical
2014-11,Arapahoe,805369.0,Recreational
2014-11,Archuleta,,Medical
2014-11,Archuleta,,Recreational
2014-11,Boulder,2400813.0,Medical
2014-11,Boulder,3196349.0,Recreational
2014-11,Chaffee,,Medical
2014-11,Chaffee,,Recreational
2014-11,Clear Creek,91727.0,Medical
2014-11,Clear Creek,298012.0,Recreational
2014-11,Costilla,,Medical
2014-11,Costilla,,Recreational
2014-11,Denver,13469383.0,Medical
2014-11,Denver,13742869.0,Recreational
2014-11,Eagle,210732.0,Medical
2014-11,Eagle,373883.0,Recreational
2014-11,El Paso,5223552.0,Medical
2014-11,El Paso,,Recreational
2014-11,Fremont,159257.0,Medical
2014-11,Garfield,318967.0,Medical
2014-11,Garfield,507297.0,Recreational
2014-11,Gilpin,,Medical
2014-11,Gilpin,,Recreational
2014-11,Grand,,Medical
2014-11,Grand,,Recreational
2014-11,Gunnison,,Medical
2014-11,Gunnison,133062.0,Recreational
2014-11,Jefferson,1837165.0,Medical
2014-11,Jefferson,1679786.0,Recreational
2014-11,La Plata,459409.0,Medical
2014-11,La Plata,647493.0,Recreational
2014-11,Lake,,Recreational
2014-11,Larimer,1185998.0,Medical
2014-11,Larimer,1493948.0,Recreational
2014-11,Las Animas,,Recreational
2014-11,Mesa,,Medical
2014-11,Moffat,,Medical
2014-11,Montezuma,,Medical
2014-11,Montrose,,Medical
2014-11,Morgan,,Medical
2014-11,Morgan,,Recreational
2014-11,Ouray,,Medical
2014-11,Ouray,,Recreational
2014-11,Park,,Medical
2014-11,Park,,Recreational
2014-11,Pitkin,72294.0,Medical
2014-11,Pitkin,216781.0,Recreational
2014-11,Pueblo,324106.0,Medical
2014-11,Pueblo,1137217.0,Recreational
2014-11,Routt,,Medical
2014-11,Routt,,Recreational
2014-11,Saguache,,Recreational
2014-11,San Miguel,26291.0,Medical
2014-11,San Miguel,169659.0,Recreational
2014-11,Sedgwick,,Medical
2014-11,Sedgwick,,Recreational
2014-11,Summit,163698.0,Medical
2014-11,Summit,706675.0,Recreational
2014-11,Teller,,Medical
2014-11,Weld,416639.0,Medical
2014-11,Weld,992006.0,Recreational
2014-12,Adams,470394.0,Medical
2014-12,Adams,1445817.0,Recreational
2014-12,Alamosa,,Medical
2014-12,Arapahoe,1498465.0,Medical
2014-12,Arapahoe,1416559.0,Recreational
2014-12,Archuleta,,Medical
2014-12,Archuleta,,Recreational
2014-12,Boulder,2548354.0,Medical
2014-12,Boulder,3592405.0,Recreational
2014-12,Chaffee,,Medical
2014-12,Chaffee,,Recreational
2014-12,Clear Creek,83182.0,Medical
2014-12,Clear Creek,371997.0,Recreational
2014-12,Costilla,,Medical
2014-12,Costilla,,Recreational
2014-12,Denver,12138739.0,Medical
2014-12,Denver,14797861.0,Recreational
2014-12,Eagle,277950.0,Medical
2014-12,Eagle,710631.0,Recreational
2014-12,El Paso,5517533.0,Medical
2014-12,El Paso,,Recreational
2014-12,Fremont,178729.0,Medical
2014-12,Garfield,283365.0,Medical
2014-12,Garfield,560065.0,Recreational
2014-12,Gilpin,34112.0,Medical
2014-12,Gilpin,103121.0,Recreational
2014-12,Grand,,Medical
2014-12,Grand,,Recreational
2014-12,Gunnison,,Medical
2014-12,Gunnison,228173.0,Recreational
2014-12,Jefferson,1832756.0,Medical
2014-12,Jefferson,1990092.0,Recreational
2014-12,La Plata,497203.0,Medical
2014-12,La Plata,838948.0,Recreational
2014-12,Lake,,Recreational
2014-12,Larimer,1316194.0,Medical
2014-12,Larimer,1613144.0,Recreational
2014-12,Las Animas,,Medical
2014-12,Las Animas,,Recreational
2014-12,Mesa,,Medical
2014-12,Moffat,,Medical
2014-12,Montezuma,117849.0,Medical
2014-12,Montezuma,,Recreational
2014-12,Montrose,,Medical
2014-12,Morgan,,Medical
2014-12,Morgan,,Recreational
2014-12,Ouray,,Medical
2014-12,Ouray,,Recreational
2014-12,Park,,Medical
2014-12,Park,,Recreational
2014-12,Pitkin,84226.0,Medical
2014-12,Pitkin,599569.0,Recreational
2014-12,Pueblo,399460.0,Medical
2014-12,Pueblo,1158670.0,Recreational
2014-12,Routt,169025.0,Medical
2014-12,Routt,493734.0,Recreational
2014-12,Saguache,,Recreational
2014-12,San Miguel,43788.0,Medical
2014-12,San Miguel,292834.0,Recreational
2014-12,Sedgwick,,Medical
2014-12,Sedgwick,,Recreational
2014-12,Summit,205226.0,Medical
2014-12,Summit,1256397.0,Recreational
2014-12,Teller,,Medical
2014-12,Weld,394521.0,Medical
2014-12,Weld,1071049.0,Recreational
2015-01,Adams,421362.0,Medical
2015-01,Adams,1189877.0,Recreational
2015-01,Alamosa,,Medical
2015-01,Arapahoe,1493744.0,Medical
2015-01,Arapahoe,1844768.0,Recreational
2015-01,Archuleta,,Medical
2015-01,Archuleta,,Recreational
2015-01,Boulder,2501072.0,Medical
2015-01,Boulder,3565252.0,Recreational
2015-01,Chaffee,,Medical
2015-01,Chaffee,,Recreational
2015-01,Clear Creek,79640.0,Medical
2015-01,Clear Creek,455108.0,Recreational
2015-01,Costilla,,Medical
2015-01,Costilla,,Recreational
2015-01,Denver,13374117.0,Medical
2015-01,Denver,15485689.0,Recreational
2015-01,Eagle,316095.0,Medical
2015-01,Eagle,825587.0,Recreational
2015-01,El Paso,5582451.0,Medical
2015-01,El Paso,,Recreational
2015-01,Fremont,180201.0,Medical
2015-01,Garfield,325730.0,Medical
2015-01,Garfield,616641.0,Recreational
2015-01,Gilpin,31006.0,Medical
2015-01,Gilpin,112455.0,Recreational
2015-01,Grand,,Medical
2015-01,Grand,,Recreational
2015-01,Gunnison,,Medical
2015-01,Gunnison,273043.0,Recreational
2015-01,Jefferson,1868844.0,Medical
2015-01,Jefferson,2108127.0,Recreational
2015-01,La Plata,893330.0,Medical
2015-01,La Plata,798627.0,Recreational
2015-01,Lake,,Recreational
2015-01,Larimer,1141214.0,Medical
2015-01,Larimer,1728021.0,Recreational
2015-01,Las Animas,,Medical
2015-01,Las Animas,224113.0,Recreational
2015-01,Mesa,,Medical
2015-01,Mesa,,Recreational
2015-01,Moffat,,Medical
2015-01,Montezuma,114767.0,Medical
2015-01,Montezuma,,Recreational
2015-01,Montrose,,Medical
2015-01,Morgan,,Medical
2015-01,Morgan,,Recreational
2015-01,Ouray,,Medical
2015-01,Ouray,,Recreational
2015-01,Park,,Medical
2015-01,Park,,Recreational
2015-01,Pitkin,90522.0,Medical
2015-01,Pitkin,813722.0,Recreational
2015-01,Pueblo,359950.0,Medical
2015-01,Pueblo,1063092.0,Recreational
2015-01,Routt,,Medical
2015-01,Routt,,Recreational
2015-01,Saguache,,Recreational
2015-01,San Juan,,Recreational
2015-01,San Miguel,50579.0,Medical
2015-01,San Miguel,374588.0,Recreational
2015-01,Sedgwick,,Medical
2015-01,Sedgwick,,Recreational
2015-01,Summit,255639.0,Medical
2015-01,Summit,1685111.0,Recreational
2015-01,Teller,,Medical
2015-01,Weld,340278.0,Medical
2015-01,Weld,1199406.0,Recreational
2015-02,Adams,434375.0,Medical
2015-02,Adams,,Recreational
2015-02,Alamosa,,Medical
2015-02,Arapahoe,1402007.0,Medical
2015-02,Arapahoe,2114064.0,Recreational
2015-02,Archuleta,,Medical
2015-02,Archuleta,,Recreational
2015-02,Boulder,2257951.0,Medical
2015-02,Boulder,3209140.0,Recreational
2015-02,Chaffee,,Medical
2015-02,Chaffee,,Recreational
2015-02,Clear Creek,77001.0,Medical
2015-02,Clear Creek,416086.0,Recreational
2015-02,Costilla,,Medical
2015-02,Costilla,,Recreational
2015-02,Denver,12841486.0,Medical
2015-02,Denver,14411812.0,Recreational
2015-02,Eagle,292481.0,Medical
2015-02,Eagle,735296.0,Recreational
2015-02,El Paso,5578020.0,Medical
2015-02,El Paso,,Recreational
2015-02,Fremont,175136.0,Medical
2015-02,Garfield,348057.0,Medical
2015-02,Garfield,535881.0,Recreational
2015-02,Gilpin,28410.0,Medical
2015-02,Gilpin,104647.0,Recreational
2015-02,Grand,,Medical
2015-02,Grand,,Recreational
2015-02,Gunnison,,Medical
2015-02,Gunnison,224407.0,Recreational
2015-02,Jefferson,1700441.0,Medical
2015-02,Jefferson,1960725.0,Recreational
2015-02,La Plata,892507.0,Medical
2015-02,La Plata,840795.0,Recreational
2015-02,Lake,,Recreational
2015-02,Larimer,1111034.0,Medical
